text,label,prediction,prediction_text,correctness
"Malam ini keberuntungan besar datang dari 𝘿𝑂RА𝟳𝟩, seru banget!",0,1,judi,Salah prediksi
"Malam ini keberuntungan besar datang dari 𝘿𝑂RА𝟳𝟩, seru banget!",0,1,judi,Salah prediksi
"Rezeki lancar jaya hari ini berkat 𝐷𝑂RА𝟳7, alhamdulillahirobbil'alamin!",0,1,judi,Salah prediksi
"Sikat habis semua bonus dan promo di DО𝑅А𝟩7, auto jadi jutawan!",0,1,judi,Salah prediksi
"Rezeki hari ini datang terus dari D𝑂𝙍А77, senang banget rasanya!",0,1,judi,Salah prediksi
D𝐎ЯА7𝟳 adalah platform yang terus berkembang dan berinovasi.,0,1,judi,Salah prediksi
"Tak disangka bisa dapat sebanyak ini dari 𝘿𝑂RА𝟩7, auto berbagi rezeki!",0,1,judi,Salah prediksi
"Nggak nyangka, cuma main sebentar di 𝘋𝘖𝘙А𝟽𝟳 langsung dapet hasil yang luar biasa!",0,1,judi,Salah prediksi
"Pagi tadi coba main di D𝑂𝘙А𝟽7, siang sudah menikmati jakpot besar!",0,1,judi,Salah prediksi
"Ternyata main di 𝘿𝘖𝑅А77 bikin rezeki datang begitu saja, langsung gacir!",0,1,judi,Salah prediksi
"Dapet rezeki besar dari 𝐃𝙊𝘙А7𝟩, nggak nyangka main jadi seasyik ini!",0,1,judi,Salah prediksi
"Hiburan yang seru dan menguntungkan, ya cuma di 𝘈𝙀𝑅О88 tempatnya!",0,1,judi,Salah prediksi
ميحيظي,0,1,judi,Salah prediksi
Berkat 𝘿𝘖𝑅А7𝟩 saya memperoleh dana untuk memulai usaha yang saya impikan.,0,1,judi,Salah prediksi
"Makasih banyak 𝘿𝘖𝑅А7𝟩,hari ini benar-benar gacir banget!",0,1,judi,Salah prediksi
Bermain di 𝘿𝘖𝑅А7𝟩 memberikan solusi keuangan atas masalah hutang saya.,0,1,judi,Salah prediksi
𝘿𝘖𝑅А7𝟩menawarkan perspektif yang berbeda tentang permainan daring.,0,1,judi,Salah prediksi
"Hari ini super happy berkat 𝘿𝘖𝑅А7𝟩, rezeki datang melimpah!",0,1,judi,Salah prediksi
"Sungguh pengalaman menyenangkan, hasil dari 𝘿𝘖𝑅А7𝟩-nggak ada lawan!",0,1,judi,Salah prediksi
𝘿𝘖𝑅А7𝟩menawarkan sekilas tentang masa depan interaksi daring.,0,1,judi,Salah prediksi
"Rekomendasi terbaik buat cari hiburan yang gacir, pasti di 𝘿𝘖𝑅А7𝟩!",0,1,judi,Salah prediksi
"Tadi sore main di 𝘿𝘖𝑅А7𝟩-langsung dapet hasil fantastis, nggak mau ketinggalan lagi!",0,1,judi,Salah prediksi
"Tidak pernah merasa jenuh bermain 𝘿𝘖𝑅А7𝟩, selalu ada inovasi!",0,1,judi,Salah prediksi
"Mantapp ternyata banyak jg yg meenang di 5𝐔𝐍𝐒𝐔𝐑 , gw sendiri dapat 7an jt bulan ini gookilll haahahaha",0,1,judi,Salah prediksi
𝗟 𝗨 𝗡 𝗔 𝗣 𝗟 𝗔 𝗬 𝟴𝟴 Nggak pakai dusta ! Real Abis member baru menang 5jt langsung landing,0,1,judi,Salah prediksi
"АЕR𝐎88 bikin ketagihan, pengen main terus dan terus!",0,1,judi,Salah prediksi
"Jika Anda mencari perspektif baru, А𝘌Я𝘖88 layak dipertimbangkan.",0,1,judi,Salah prediksi
"Jika Anda mencari perspektif baru, 𝘼𝙀𝘙О88 layak dipertimbangkan.",0,1,judi,Salah prediksi
"Dari yang tadinya cuma penasaran, eh malah dapet rezeki besar di 𝘈𝘌Я𝘖88",0,1,judi,Salah prediksi
Setiap hari ada aja kejutan dari 𝐀EЯ𝐎88 bikin semangat!,0,1,judi,Salah prediksi
A𝘌𝐑О88 menawarkan pengalaman daring yang berbeda.,0,1,judi,Salah prediksi
"Rezeki besar nggak kemana, makasih banyak 𝐃ОЯ𝘼77!",0,1,judi,Salah prediksi
"Main di 𝐷О𝑅А77-bikin hariku lebih menyenangkan, terima kasih!",0,1,judi,Salah prediksi
"DORА77 bikin lupa semua masalah duniawi, hiburan yang sangat berarti!",0,1,judi,Salah prediksi
"Game enak, hasil mantap! 𝐀𝐒𝐈𝐀𝟗𝟏𝟖 gak pernah zonk!",0,1,judi,Salah prediksi
Santai di rumah tapi feel-nya dapet banget bareng 𝗛𝗘𝗥𝗖𝗨𝗟𝗘𝗦𝟴𝟵𝟴,0,1,judi,Salah prediksi
A𝙀Я𝘖𝟴𝟾 menawarkan pendekatan yang berbeda untuk interaksi daring.,0,1,judi,Salah prediksi
Gak sabar buat main lagi di AЕ𝙍𝙊8𝟪 karena rezeki datang tak terduga!,0,1,judi,Salah prediksi
Sikat semua bonus di AЕ𝙍O𝟴𝟪 auto sultan!,0,1,judi,Salah prediksi
"Main di A𝐸RО𝟴8 bikin happy terus, hiburan nomor satu!",0,1,judi,Salah prediksi
"Grafis AЕ𝙍О8𝟴 keren banget, bikin betah main!",0,1,judi,Salah prediksi
"Asli bikin nagih, di A𝘌Я𝙊𝟴𝟴 sensasi menang-nya bikin ketagihan parah.",0,1,judi,Salah prediksi
"Alhamdulillah, rezeki nggak kemana! Baru main di 𝘋𝙀𝘞𝘼𝐷О𝘙𝘈,langsung dapat menang besar! Thank you banget!",0,1,judi,Salah prediksi
Di 𝘋𝐄W𝘈𝐷OЯ𝐴 menyediakan modal yang mendukung rencana bisnis saya.,0,1,judi,Salah prediksi
"Jakpot besar bikin aku makin cinta sama 𝐃EWA𝐷ОЯ𝘼, makasih banget!",0,1,judi,Salah prediksi
𝐷𝐄𝙒A𝘋О𝘙𝘼 menawarkan platform yang terus berkembang berdasarkan masukan pengguna.,0,1,judi,Salah prediksi
Bermain di 𝐃𝐸𝘞A𝐷О𝘙А membuat saya mampu melunasi hutang dengan hasil memuaskan.,0,1,judi,Salah prediksi
"Aku udah coba, dan langsung dapet jakpot! Kapan kamu coba di 𝘿𝐸𝑊A𝐷OЯ𝐀?",0,1,judi,Salah prediksi
"Di DEWA𝐷OЯ𝘈 mendukung transformasi saya, dari penjual kaki lima jadi pemilik restoran.",0,1,judi,Salah prediksi
𝘈ЕЯ𝑂88 adalah platform yang terus diperbarui.,0,1,judi,Salah prediksi
"Hasil gacir bikin hariku makin cerah, makasih banyak 𝘈ЕRО88",0,1,judi,Salah prediksi
"Kece badai! Main di 𝐀ЕR𝙊88 lancar, cuan juga lancar jaya!",0,1,judi,Salah prediksi
Modal kecil langsung gacir di 𝐀𝐸𝐑О88 puas banget main di sini!,0,1,judi,Salah prediksi
"Kece badai! Main di А𝘌𝐑О88 lancar, cuan juga lancar jaya!",0,1,judi,Salah prediksi
"Kalo 𝘼ЕЯ𝑂88 pulang kantor, biasanya sambil ngapain?",0,1,judi,Salah prediksi
"Cuma main sebentar, tapi langsung dapet jakpot besar. Coba deh di 𝘋O𝘙А77!",0,1,judi,Salah prediksi
"Berkat 𝐷𝐎RА77 saya berhasil mengubah nasib, dari tukang bakso jadi bos restoran.",0,1,judi,Salah prediksi
"Melalui 𝐃ОЯ𝘼77 saya berubah, dari tukang kayu ke pengusaha furniture.",0,1,judi,Salah prediksi
"W3de terus di 𝐌𝐢𝐘𝐚𝟖𝟖, nggak ngerti lagi!",0,1,judi,Salah prediksi
"Sandi main di 𝐌𝐢𝐘𝐚𝟖𝟖 santai, ternyata bisa beli motor juga.",0,1,judi,Salah prediksi
"Cobain 𝐌𝐢𝐘𝐚𝟖𝟖, asli mekswin beneran! Keseruannya bikin nagih!",0,1,judi,Salah prediksi
Sikat habis untuk banyak di A𝘌𝐑О𝟾8 auto kaya mendadak!,0,1,judi,Salah prediksi
"Jika Anda menghargai umpan balik pengguna, A𝘌Я𝐎𝟴𝟪 mungkin pilihan yang baik.",0,1,judi,Salah prediksi
"Dari yang tadinya cuma penasaran, eh malah dapet rezeki besar di A𝙀Я𝐎𝟾𝟴",0,1,judi,Salah prediksi
"Main cuma sebentar, hasilnya luar biasa! Kalo belum coba di A𝙀ЯO8𝟪 pasti bakal nyesel!",0,1,judi,Salah prediksi
"Gak pake lama, main di A𝐸𝘙О𝟴𝟾 langsung dapet hasil maksimal!",0,1,judi,Salah prediksi
"Wah, bener-bener gacir! Coba main sekarang juga, pasti nggak bakal nyesel! AE𝑅О8𝟪",0,1,judi,Salah prediksi
Gak ada kata bosan main AЕ𝑅О88 selalu update!,0,1,judi,Salah prediksi
"Dengan 𝘿𝙀𝐖𝘈𝘿𝘖Я𝐀 saya sukses, dari pengantar roti jadi pengusaha bakery.",0,1,judi,Salah prediksi
𝐃𝐄𝑊𝘼𝘿𝘖Я𝐀adalah platform yang terus berkembang dan berinovasi.,0,1,judi,Salah prediksi
"Main di 𝐴E𝙍О88 seru banget, langsung dapat rezeki nggak terduga!",0,1,judi,Salah prediksi
"Rezeki hari ini bikin aku makin optimis, cuma di A𝘌𝐑О88",0,1,judi,Salah prediksi
Tidak pernah merasa jenuh bermain 𝐀EЯ𝙊88 selalu ada inovasi!,0,1,judi,Salah prediksi
untung besar bikin aku makin semangat tiap kali main di AЕ𝙍𝙊𝟴𝟾,0,1,judi,Salah prediksi
"Main sebentar aja langsung dapet rezeki besar, keren banget AЕ𝐑О𝟾𝟪",0,1,judi,Salah prediksi
Temen-temen gue pada pindah ke �𝗛𝗘𝗥𝗖𝗨𝗟𝗘𝗦𝟴𝟵𝟴 dan gue ngerti kenapanya.,0,1,judi,Salah prediksi
"Berkat 𝐃𝐎𝙍А77 saya berubah, dari karyawan biasa jadi pemilik bisnis.",0,1,judi,Salah prediksi
"Tiap hari ada aja hal baru di 𝘿𝑂ЯА77, bikin penasaran dan excited terus!",0,1,judi,Salah prediksi
"Hari yang begitu indah dan penuh kebahagiaan bersama 𝐷О𝑅А77, rezeki datang menghampiri tanpa diduga!",0,1,judi,Salah prediksi
"Gila sih, di 𝐀𝙀Я𝙊88 ada event lucky draw berhadiah liburan.",0,1,judi,Salah prediksi
"Dengan 𝐷О𝑅А77 saya sukses, dari pembantu rumah jadi pengusaha cleaning service.",0,1,judi,Salah prediksi
"Jika Anda menghargai solusi yang berwawasan ke depan, 𝘿ОЯ𝘈77 mungkin cocok.",0,1,judi,Salah prediksi
"Di DOR A 7 7 membawa saya ke level baru, dari sopir angkot jadi pemilik perusahaan transportasi.",0,1,judi,Salah prediksi
Berkat D𝙊𝙍А77 saya mendapatkan peluang modal yang mendukung impian usaha saya.,0,1,judi,Salah prediksi
"Jika Anda menikmati bekerja dengan orang lain, 𝐴E𝑅О88 mungkin cocok.",0,1,judi,Salah prediksi
"Rezeki hari ini bikin aku makin optimis, cuma di 𝐴Е𝘙O88",0,1,judi,Salah prediksi
"Modal kecil tapi hasil gacir terus, cuma di 𝘋ОЯ𝐴77!",0,1,judi,Salah prediksi
"Bermain di 𝐃ОЯ𝘼77 membuka peluang, dari pengantar surat ke posisi manajerial.",0,1,judi,Salah prediksi
Hasil dari 𝐷𝘖𝐑А77 membuktikan saya beralih dari tukang bakso ke bos restoran.,0,1,judi,Salah prediksi
Aku yakin banget scene ini dirancang khusus oleh tim 𝐌 𝐈 𝐘 𝐀 𝟖 𝟖.,0,1,judi,Salah prediksi
"Kalau ini gak naik, 𝗠 𝗜 𝗬 𝗔 𝟴 𝟴 sedih",0,1,judi,Salah prediksi
𝗠 𝗜 𝗬 𝗔 𝟴 𝟴 tunggu video selanjutnya dengan sabar,0,1,judi,Salah prediksi
"Kalau ada award buat video underrated, 𝗠 𝗜 𝗬 𝗔 𝟴 𝟴 pilih ini",0,1,judi,Salah prediksi
𝗠 𝗜 𝗬 𝗔 𝟴 𝟴 gak nyangka video ini bisa sebagus ini,0,1,judi,Salah prediksi
"Dari pada gabut, mending main di 𝘼𝙀𝑅О88",0,1,judi,Salah prediksi
"menang besar banget di 𝘿𝙊𝙍А77,recommended banget buat yang cari hiburan!",0,1,judi,Salah prediksi
Main di 𝐋𝐞𝐬𝐭𝐢𝟕� tuh bikin nagih,0,1,judi,Salah prediksi
Gak terceritakan perjalanan nya dengan luan²,0,1,judi,Salah prediksi
"𝗞𝗢𝗜𝗦𝗟𝗢𝗧, di mana setiap permainan adalah peluang menang yang nyata!​",0,1,judi,Salah prediksi
"Abis nonton, langsung buka 𝗠𝗜𝗬𝗔𝟴𝟴 dan main!​",0,1,judi,Salah prediksi
"Main di 𝗠𝗜𝗬𝗔𝟴𝟴, rasakan sendiri serunya menang terus tanpa batas!",0,1,judi,Salah prediksi
"Main di 𝗞𝗢𝗜𝗦𝗟𝗢𝗧, sensasi menangnya bikin lupa waktu dan tempat!",0,1,judi,Salah prediksi
"Abis nonton, langsung buka 𝗠𝗜𝗬𝗔𝟴𝟴 dan main!​",0,1,judi,Salah prediksi
"Main di 𝗞𝗢𝗜𝗦𝗟𝗢𝗧, rasakan sendiri serunya menang terus tanpa henti!",0,1,judi,Salah prediksi
𝐁𝐓𝐕❶❻❽ platform yang terus berkembang dan berinovasi.,0,1,judi,Salah prediksi
"Aku udah coba, dan langsung dapet jakpot! Kapan kamu coba di 𝐁𝐓𝐕❶❻❽?",0,1,judi,Salah prediksi
"Rezeki tak terduga datang dari 𝐁𝐓𝐕❶❻❽, makasih banyak!",0,1,judi,Salah prediksi
Senang banget dapat rezeki tak terduga dari 𝐁𝐓𝐕❶❻❽!,0,1,judi,Salah prediksi
"Terbaik memang kak,salam 𝐏𝐋𝐔𝐓𝐎𝟖𝟖",0,1,judi,Salah prediksi
Bermain di 𝐏𝐋𝐔𝐓𝐎𝟖𝟖 uang jajan jadi nggak habis-habis!,0,1,judi,Salah prediksi
𝐏𝐋𝐔𝐓𝐎𝟖𝟖 emang berbeda,0,1,judi,Salah prediksi
Bermain di 𝐏𝐋𝐔𝐓𝐎𝟖𝟖 uang jajan jadi nggak habis-habis!,0,1,judi,Salah prediksi
"Semangat Bosqu , Terbaik 𝐏𝐋𝐔𝐓𝐎𝟖𝟖",0,1,judi,Salah prediksi
"Semangat Bosqu , Terbaik 𝐏𝐋𝐔𝐓𝐎𝟖𝟖",0,1,judi,Salah prediksi
Sangat keren kali 𝓡ingbet,0,1,judi,Salah prediksi
epic moment 𝓡ingbet,0,1,judi,Salah prediksi
